airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
positive,TRUE,0,0,"@algoqrecordar @Iberia  @viajarlocura @lacosmopolilla   @WanderlustTB @TragaViajes  Una suerte poder volar, pero especialmente aterrizar 👉✌😜",,Tue Dec 19 12:53:46 +0000 2017,943102054968516608,,
neutral,FALSE,0,0,La mejor foto tecnológica del año 2017 https://t.co/c2gDhu1Fe3 #WomenInTechSpain #redhat @juliaberp_julia Red Hat Iberia Country Manager,,Fri Jan 05 00:41:26 +0000 2018,949078349795741696,"Madrid, Comunidad de Madrid",
positive,FALSE,0,0,"📉 🔥 ¡Chollo! Maleta Aerolite barata por sólo 37,99 € Enlace: https://t.co/4lfu1HSkgP",,Wed Jan 03 14:01:07 +0000 2018,948554823464554499,,Pacific Time (US & Canada)
positive,FALSE,0,0,OMG! 🤯 Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando… https://t.co/dGK936alSu,,Sat Dec 30 13:15:16 +0000 2017,947093731508998144,,Madrid
negative,TRUE,0,0,@javidevicalvaro Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos,,Thu Nov 23 08:19:41 +0000 2017,933610996584808451,,Dublin
negative,TRUE,0,0,@andreaesv Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c… https://t.co/88aFwsY9G6,,Mon Nov 20 10:06:54 +0000 2017,932550811867058176,,
negative,TRUE,0,0,"@flandivar @quiz_viajero llegando a #Málaga por #Ryanair, nos pusieron una musiquita por el altavoz que nos encenti… https://t.co/rV5DNhaJGW",,Sun Dec 03 11:03:48 +0000 2017,937276175830970368,"Málaga, España",Buenos Aires
negative,TRUE,0,0,"@Iberia @Renfe Finalmente @renfe tuvo que proporcionarme una autorización para viajar, pero esto es lamentable y me… https://t.co/2ezAZOFqqO",,Sat Dec 23 17:48:43 +0000 2017,944625831707586561,,Greenland
negative,TRUE,0,0,"@Iberia Pues la verdad es que no. Pocas explicaciones, ninguna alternativa tenida en cuenta, etc. Dejando mucho que desear.",,Fri Dec 22 15:27:51 +0000 2017,944227994712854531,,
neutral,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/yNgJabJbSg",,Mon Nov 27 15:56:48 +0000 2017,935175585176997888,"Quilmes, Argentina",
neutral,FALSE,0,0,En @Iberia ofrecen un 10% de descuento a los asistentes a #GijónSeCome con el código de descuento IIGIJONSECOME https://t.co/PAx6DHfUuL,,Tue Nov 07 14:59:27 +0000 2017,927913392005935104,,Pacific Time (US & Canada)
negative,TRUE,0,0,"@Iberia Hice una compra de pasaje y nunca llegó el mail con la confirmación, si bien figura la reserva ingresando e… https://t.co/m2sthY43us",,Wed Nov 29 10:53:11 +0000 2017,935823952638894087,,Buenos Aires
negative,TRUE,0,0,@Iberia Acabo de venir del mostrador de Atención al cliente donde me mandan a llamar al teléfono. Lo chistoso es qu… https://t.co/A64U860bA7,,Wed Nov 29 11:07:46 +0000 2017,935827621153329152,,Madrid
negative,TRUE,0,0,@C5_CDMX @AICM_mx @GobCDMX @RedFM921 @SergioyLupita @RedVialRC @ImagenTVMex @asilascosasw @CiroGomezL @MrElDiablo8… https://t.co/AEWuJpRwiY,,Fri Nov 17 13:39:06 +0000 2017,931517052522782720,,
neutral,FALSE,0,0,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/cZBhzfEeki",,Sun Dec 31 01:02:02 +0000 2017,947271595210526720,,Bogota
neutral,FALSE,0,0,Hoy hace 90 años que Iberia levantó el vuelo y unió Madrid y Barcelona https://t.co/uwku00eqi5,,Thu Dec 14 11:49:49 +0000 2017,941274021240467458,,Pacific Time (US & Canada)
negative,FALSE,0,0,Mañana regresamos a casa a pasar las fiestas y @MatiServedia no podrá comer nada porque @Iberia no le puede ofrecer… https://t.co/sX1kZjIDMb,,Fri Dec 22 23:21:52 +0000 2017,944347285814734849,,Mexico City
neutral,TRUE,0,0,"@vmm7773 Pues ya sabes, Iberia y billete cerrado.",,Fri Nov 03 08:02:50 +0000 2017,926358999091556352,,
negative,TRUE,0,0,@Milenio @Iberia @Iberia_en @IberiaPromos IBERIA PERDIÓ MI MALETA HACE 5 DIAS CON MIS MEDICAMENTOS ADENTRO Y NO ME… https://t.co/RzOqW8p6oJ,,Tue Dec 26 03:54:48 +0000 2017,945503134683619329,,Pacific Time (US & Canada)
positive,TRUE,0,0,"@Iberia Qué buenos tiempos del B-747, el avión por excelencia. Volveremos a verlo de nuevo en IB?",,Wed Nov 22 16:44:23 +0000 2017,933375620771348481,,
negative,FALSE,0,0,Vergonzoso. @Iberia cancela el vuelo Chicago-Madrid del 21 de diciembre porque si. Y a los que viajamos para un par… https://t.co/tNJivzcrTl,,Fri Dec 01 23:41:30 +0000 2017,936742081829228549,,Central Time (US & Canada)
negative,TRUE,0,0,@Rayv_ @DcgDidi @JouiChange @SindyTakanashi @Desahogada @Ryanair_ES ¿Cuándo he dicho yo que Ryanair haya actuado bi… https://t.co/2Xe1MeAGbV,,Wed Dec 13 12:49:31 +0000 2017,940926656855924737,,Madrid
neutral,FALSE,0,0,"El Black Friday, también en Iberia https://t.co/LzM6NuNXiq",,Fri Nov 24 11:35:03 +0000 2017,934022549041700865,,Paris
negative,FALSE,0,0,"Pués, fué tan desagradable que yo no gastaría dinero en IBERIA.",,Sat Dec 23 01:47:32 +0000 2017,944383945122164737,,
negative,FALSE,0,0,Un pasajero sale por la puerta de emergencia de un avion de Ryanair cansado de esperar mas de una hora https://t.co/vQcdczONjB,,Wed Jan 03 12:27:36 +0000 2018,948531288352403456,,
negative,TRUE,0,0,@Iberia RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM… https://t.co/7PpZ0N5j1w,,Wed Dec 13 21:27:19 +0000 2017,941056967388418048,,
neutral,TRUE,0,0,@Luci_rodg @Iberia Jajajajajja llevate el pasaporte también lu,,Mon Nov 13 08:46:40 +0000 2017,929993908146274304,,Amsterdam
neutral,TRUE,0,0,"@unchinodechina 

¿Me ayudas a difundir, por favor? https://t.co/krWIY6quOv",,Sun Nov 26 15:10:02 +0000 2017,934801425212768257,,
neutral,TRUE,0,0,@OverflightStorm @controladores Yo he volado en vuelos de Niki que operaba Air Berlín. Había una colaboración estre… https://t.co/sCSFYsGzdP,,Fri Dec 15 10:07:17 +0000 2017,941610607941423104,,Europe/Madrid
negative,TRUE,0,0,"@Iberia No atiende las reclamaciones de indemnización por retraso superior a tres horas, a pesar de saber que TIENE… https://t.co/qNrBptSeDo",,Thu Nov 23 11:29:54 +0000 2017,933658866100908033,,Athens
negative,FALSE,0,0,Me consta que es una vergüenza. https://t.co/bkzqzs8POC,,Wed Nov 22 20:00:42 +0000 2017,933425022345105409,,Pacific Time (US & Canada)
positive,TRUE,0,0,@Sr_JOF @Titan123TJ @_LaCompagnie @Iberia A mi me suena que hace tiempo llevó al Barça desde El Prat a un amistoso en el Golfo.,,Sat Dec 30 22:14:34 +0000 2017,947229450470674432,,Madrid
neutral,TRUE,0,0,"@gatm80 @loobos Calera (Iberia lo apoya) fue al TAS, para que el descenso sea para el colista del transición y no del promedio, como ahora",,Sat Oct 28 00:58:15 +0000 2017,924077821651226625,,Santiago
positive,TRUE,0,0,@luismipedrero @laventana @PodiumPodcast @Iberia Mil gracias Luis 😘😘😘,,Tue Nov 07 08:16:16 +0000 2017,927811929703354368,,Pacific Time (US & Canada)
positive,FALSE,0,0,"Qué placer viajar con Ryanair
La nueva política de equipajes de Ryanair entrará en vigor el próximo mes… https://t.co/D65rdXpus8",,Wed Dec 13 11:31:34 +0000 2017,940907042746880000,,Madrid
positive,FALSE,0,0,"Hola @Iberia. He hecho check in con la app, después de muchos meses y la experiencia ha sido brutalmente buena. 👌🙂👏🏻",,Wed Nov 29 11:06:40 +0000 2017,935827345688223744,,Madrid
negative,TRUE,0,0,@ALSA_Autobuses Hola! Mi vuelo Viena-Madrid va a salir con 15 minutos de retraso gracias a @Iberia Tengo un billete… https://t.co/cxE2qXR5y3,,Tue Dec 05 17:36:08 +0000 2017,938099686052909057,,Madrid
positive,TRUE,0,0,"@mewimausi Ahorrar está sobrevalorado, a mi Ryanair me está poniendo ojitos",,Tue Dec 26 17:33:47 +0000 2017,945709238592163840,,Athens
negative,TRUE,0,0,@Ryanair me siento estafado,,Wed Dec 13 08:11:33 +0000 2017,940856704010543104,,Madrid
negative,FALSE,0,0,Deberían quitarles la licencia y que sean otras compañías más serias las que ocupen su lugar. https://t.co/sMqaSkFwfe,,Mon Jan 08 19:40:44 +0000 2018,950452229701500928,,
negative,FALSE,0,0,Ryanair pide a sus #pilotos que abandonen sus planes de #huelga https://t.co/pw1HBEZDsz @Ryanair_ES,,Wed Dec 13 11:33:10 +0000 2017,940907443609112576,,
negative,TRUE,0,0,@mariajo_suarez @Iberia Yo puse una reclamación una vez porque @Iberia me metió en un avión que parecía de la Primera Guerra Mundial!!!!,,Thu Nov 30 21:30:18 +0000 2017,936346674422837249,,Madrid
positive,TRUE,0,0,@Iberia @favio_castro Felicitaciones,,Tue Nov 14 15:57:49 +0000 2017,930464796713111552,,
positive,TRUE,0,0,@Eduspalace @Fjlopezm @Iberia Buen despegue!!. A veces veo spotters en esa zona,,Thu Oct 26 05:56:53 +0000 2017,923428197663952896,,
positive,FALSE,0,0,"IAG transportó un 4,1% más de pasajeros en 2017 gracias al empuje de Iberia https://t.co/X5HJCnkxKY",,Thu Jan 04 19:23:16 +0000 2018,948998279928406017,,Pacific Time (US & Canada)
positive,TRUE,0,0,@Iberia Felices fiestas!!! Es una pena que ya los venezolanos no podamos volar con ustedes. Mi experiencia siempre… https://t.co/tqImpDY5TE,,Thu Dec 21 22:36:11 +0000 2017,943973401898704900,,
neutral,FALSE,0,0,"Antonio Baldellou, nuevo Director de Instalaciones Existentes y Modernizaciones de Schindler Iberia - Recursos Huma… https://t.co/3XVz4hQcnj",,Mon Dec 25 00:32:32 +0000 2017,945089846401527811,,Pacific Time (US & Canada)
neutral,FALSE,0,0,Iberia Tripulante de Cabina de Pasajeros https://t.co/G7hIVlD49d,,Sat Dec 02 22:28:08 +0000 2017,937086003344494592,,
negative,FALSE,0,0,Primer vuelo de mi vida perdido gracias a la ayuda de @Ryanair @RyanairFlights #worstflightcompany,,Wed Nov 15 20:55:33 +0000 2017,930902113735102469,,Athens
neutral,FALSE,0,0,Hoy iberia cumple 90 años de su primer vuelo. Felicidades!!!! #AvGeek #PasionPorLaAviacion en… https://t.co/R2qokS2b6t,"[-0.13555556, -78.36555556]",Thu Dec 14 22:09:25 +0000 2017,941429949055033345,"Quito, Ecuador",Madrid
negative,FALSE,0,0,"Descubre Shanghai, Vuelo Directo con Iberia, 5 días desde 963€ Tax Includ https://t.co/3i2tQ6PHY4",,Sun Dec 03 10:32:15 +0000 2017,937268233396158464,,Madrid
negative,FALSE,0,0,Los de Ryanair son un poco guarretes jajaja no volaba cn ellos ni aunque me pagaran. https://t.co/rFm7BsKggZ vía @CincoDiascom,,Thu Nov 30 09:54:57 +0000 2017,936171685212053505,,Athens
neutral,FALSE,0,0,"Iberia ampliará sus vuelos semanales a Buenos Aires.
https://t.co/CbpAiN1mcp https://t.co/st87rdwiTg",,Wed Nov 22 20:13:53 +0000 2017,933428340781977601,,Madrid
neutral,TRUE,0,0,"@Iberia dos asientos juntos. Pueden explicarme si es la nueva política de Iberia para fidelizar clientes? Y si puedo arreglarlo.
Gracias",,Fri Nov 03 03:54:27 +0000 2017,926296489491443712,,Athens
positive,FALSE,0,0,Gracias @Iberia por el regalazo de navidad! 🎄🎁 #Upgrade a #Business en un vuelo de 10 horas no tiene precio! 🙏🏻,,Sun Dec 24 10:53:07 +0000 2017,944883633273430017,"Madrid, Spain",Madrid
negative,FALSE,0,0,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/eiq5JFzWJh",,Mon Dec 04 10:58:13 +0000 2017,937637157128241152,,Bogota
neutral,TRUE,0,0,"@idoyananin @Iberia Idoya, esperemos que no. Al menos ponen de su parte en solucionarlo :)",,Fri Dec 22 08:24:06 +0000 2017,944121354076475392,,Madrid
neutral,TRUE,0,0,@Ryanair Madrid.,,Thu Nov 23 17:13:54 +0000 2017,933745435700842496,,Dublin
positive,TRUE,0,0,@Iberia buenas noche🌟🌟 https://t.co/ry0HJYzHDg,,Sun Nov 05 22:24:31 +0000 2017,927300623216926722,,
negative,TRUE,0,0,@Zane_GH Pues menudo timo @Zane_GH @ibexpress_help @iberiaexpress @Iberia,,Thu Nov 02 14:15:31 +0000 2017,926090399386603520,,
negative,TRUE,0,0,@SilOsitos @Iberia Que verguenza! Dentro de lo malo quedo en un aeropuerto donde maneja el idioma. Que la puedas abrazar pronto.,,Thu Dec 14 17:26:08 +0000 2017,941358657966673920,,Brasilia
negative,FALSE,0,0,"Ryanair y United, peores aerolíneas de 2017 según la consultora brintánica Which?
https://t.co/qDrAIaOtp3",,Sat Dec 23 11:33:51 +0000 2017,944531496613892096,,Madrid
neutral,TRUE,0,0,"@CarlosRierx Pero es la mejor, no se, con Iberia ya había pasado arrechera. Con AA todo fue bello",,Thu Nov 23 23:18:39 +0000 2017,933837229218287616,,Hawaii
neutral,FALSE,0,0,"EL SALVADOR y DIPUTADOS no abren el espacio aereo a las AEROLINEAS como RyanAir 
Mira los precios desde Madrid...
https://t.co/qTXE3opfuP",,Fri Oct 27 18:20:08 +0000 2017,923977631472680960,,
negative,FALSE,0,0,"Ale, a Gatwick.

Iberia, panda de INÚTILES REDOMADOS",,Fri Dec 15 16:02:15 +0000 2017,941699935719841792,,Amsterdam
positive,FALSE,0,0,"El viaje de la semana pasada a San Francisco me sirvió para subir de categoría @Iberia Plus. Mañana, maleta extra y… https://t.co/N9FKOqcDvs",,Fri Dec 22 15:06:48 +0000 2017,944222698187771904,,Athens
neutral,TRUE,0,0,@ivan_cortina @Iberia Reclama. El billete tiene seguro.,,Sat Dec 30 16:08:01 +0000 2017,947137207273508864,,
negative,TRUE,0,0,@luisangelmate @Iberia Madre mía..... mana de gilipollas,,Wed Dec 13 21:12:05 +0000 2017,941053132632621056,,
negative,TRUE,0,0,@AirNostrumLAM origen del vuelo Turín en avión de Iberia Airnostrum para su conocimiento. Tomen nota https://t.co/cacniDpvzz,,Tue Dec 26 09:12:55 +0000 2017,945583190114172929,,
negative,TRUE,0,0,@MrGalisteo @WhimperSpain ¡Dios mío! Hablando así inglés se parece a las azafatas de Iberia !,,Sat Dec 02 18:04:25 +0000 2017,937019636683558912,,
positive,FALSE,0,0,Iberia regala smartphones a los 200 pasajeros de un vuelo. La Chispa | Revista de turismo https://t.co/m9MW5qGpc0: https://t.co/Ta2BIZYSk3,,Mon Oct 30 10:43:32 +0000 2017,924949886721843200,,Madrid
negative,TRUE,0,0,@AeroAsturias @aena Hoy en el aeropuerto en la ventana de @Iberia @iberiaexpress nadie sabía nada de los vuelos a H… https://t.co/sNKcbENt0m,,Tue Jan 02 08:15:23 +0000 2018,948105427199451136,,
positive,TRUE,0,0,@Ryanair_ES @Ryanair Hacemos alcanzable lo inalcanzable #Ryanair,,Mon Nov 20 19:50:34 +0000 2017,932697697412419587,,Hawaii
negative,FALSE,0,0,A qué esperan Renfe e Iberia para suspender todas sus relaciones de transporte con CataluÑa?,,Fri Oct 27 16:55:27 +0000 2017,923956317928284161,,
positive,FALSE,0,0,"Todo en exceso es malo, menos ¡viajar! #HolaEuropa ...Bienvenidos @iberia quiero disfrutar con ustedes de una exper… https://t.co/XFRjjSolwG",,Mon Dec 18 19:21:25 +0000 2017,942837223438913536,,Eastern Time (US & Canada)
neutral,FALSE,0,0,La aerolínea @Iberia tendrá nuevas conexiones en 2018 desde el #aeropuerto de #Madrid hacia #Managua y #SanFrancisco https://t.co/16js4vvdbP,,Wed Nov 29 14:10:16 +0000 2017,935873547859263488,,Madrid
neutral,FALSE,0,0,"Los pilotos Ryanair en Alemania harán huelga este viernes, la primera en la historia de la aerolínea https://t.co/a2BajOzARq vía @epturismo",,Thu Dec 21 18:39:59 +0000 2017,943913958045552642,,Madrid
neutral,FALSE,0,0,Hoy se cumplen 90 años del primer vuelo de @Iberia ✈️🎂 https://t.co/RXPZs6F4Li vía @Aerotendencias #Aniversario… https://t.co/Anl4sBtLcs,,Thu Dec 14 10:24:35 +0000 2017,941252570173108226,,Madrid
negative,TRUE,0,0,"@noticias_cuatro @oscardiazdliano Claro, como Ryanair q decían q iban de pie y resulta q es la cía que ha tenido q… https://t.co/flgsAPiRB6",,Wed Nov 22 19:56:42 +0000 2017,933424018601934848,,
positive,FALSE,0,0,"Con el asco que le tenía a @Ryanair hace años, hoy está siendo todo muy smooth. ¿Me harán cambiar de opinión? 😂",,Thu Nov 09 11:36:38 +0000 2017,928587130301046784,,Madrid
negative,FALSE,0,0,Ryanair desaloja a varias chicas de un avión por comportarse como “animales” https://t.co/08Y3NrvMzh,,Wed Jan 03 05:46:03 +0000 2018,948430233807609857,,
positive,FALSE,0,0,DHL coge el toro de la tecnología por los cuernos https://t.co/rcdcu6BGij,,Sun Dec 03 19:13:01 +0000 2017,937399289797419008,,Paris
negative,FALSE,0,0,"Pues vale, molt be, pues adios... @vueling https://t.co/oyf00m8F7u",,Fri Nov 24 18:17:41 +0000 2017,934123874840711168,,
negative,FALSE,0,0,La decisión de Ryanair sobre el equipaje de mano que va a enfadar a la mayoría de sus clientes https://t.co/Rxwoyamqk3,,Mon Jan 08 19:58:26 +0000 2018,950456681615458305,,Amsterdam
negative,FALSE,0,0,Recibo por mail el resumen de la tarjeta: 150€ por cinco horas de Wi-Fi! Gracias Iberia 😒,,Wed Jan 03 18:57:29 +0000 2018,948629406372810752,"Barcelona, España",
negative,TRUE,0,0,@ertenembaum fíjate que pasa con la ruta que AA deja hacer a BcN  tiene 94% ocupación pero Iberia fue beneficiada,,Wed Nov 29 12:59:50 +0000 2017,935855822718095362,,
negative,FALSE,0,0,The latest El Australiner Diario! https://t.co/9fkwidNWQN #airbus #iberia,,Sat Dec 02 22:28:39 +0000 2017,937086135842623488,,Buenos Aires
neutral,FALSE,0,0,'Ryanair' bromea con el aeropuerto a nombre de CR7 ¿Homenaje o burla? https://t.co/N2aKsKj5Sh #20m,,Tue Nov 14 00:20:05 +0000 2017,930228810452291584,,Central Time (US & Canada)
negative,FALSE,0,0,"#Semana155M4
Puto Ryanair !!! Otro vuelo que cancelan..
 https://t.co/41HO1bRSyN",,Wed Oct 25 13:22:29 +0000 2017,923177947942522880,,
neutral,FALSE,0,0,“Que pare el mundo que yo me bajo” versión mejorada 😂🤚🏼 https://t.co/F0EGDv36qH,,Wed Jan 03 13:36:26 +0000 2018,948548610593091585,,
neutral,FALSE,0,0,"#Viral | Un pasajero de #Ryanair enfadado sale por la puerta de emergencia del avión, cansado de esperar, intento b… https://t.co/glXNHKHYBZ",,Wed Jan 03 19:35:55 +0000 2018,948639079058391040,,Mexico City
negative,TRUE,0,0,"@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901",,Mon Nov 06 19:47:38 +0000 2017,927623530585509889,,
neutral,FALSE,0,0,Llega el primer #duelodemarcas de MarketingDirecto: Ryanair vs. easyJet ¿Cuál ganará? https://t.co/wkdKsdGiQi … https://t.co/hKg2AdzEPN,,Mon Jan 01 17:01:11 +0000 2018,947875360905072640,,Madrid
neutral,TRUE,0,0,@Iberia En la opción 3 se puede hacer mediante tarjeta crédito o débito llamando a ese numero que me facilitaron? Y… https://t.co/k3X3tNadKC,,Tue Dec 26 12:59:04 +0000 2017,945640105129193472,,London
negative,TRUE,0,0,"@Iberia @scoobymedina Le doy RT, pero me parece de cuarta que exigan RT para hacer eso",,Tue Dec 05 14:53:54 +0000 2017,938058857628266496,,Buenos Aires
negative,TRUE,0,0,@iberia tenéis suerte de ser los únicos prácticamente que voláis a Melilla porque mi maleta ha llegado 2 días tarde… https://t.co/GnKeOxSYj4,,Fri Dec 29 11:47:06 +0000 2017,946709155389329408,,
neutral,TRUE,0,0,@Iberia Gracias,,Tue Dec 12 13:38:56 +0000 2017,940576705525288960,,Caracas
positive,TRUE,0,0,@Miguelmoralnjo @aegve_ @Iberia @Enterprise @GrupoNexo @nhhotelses Que grande! #supergex,,Tue Nov 21 14:56:13 +0000 2017,932986009452675072,,
positive,FALSE,0,0,La mejor presentación que he visto en todos los vuelos la realizada hoy en el IB3878 x su comandante F. Sanz. Felicidades @Iberia,,Thu Dec 28 14:55:48 +0000 2017,946394257258106885,,
neutral,TRUE,0,0,"@Iberia No, no lo han hecho. Sólo han hecho una pregunta que ya estaba explicado en el mensaje",,Sun Dec 03 10:26:59 +0000 2017,937266909120167936,,
negative,FALSE,0,0,(AsíNoMás) Pilotos amenazan con nuevas protestas en contra de Ryanair en Europa  ▶️ https://t.co/d77r93warX,,Wed Dec 13 01:03:31 +0000 2017,940748989309341696,,Pacific Time (US & Canada)
neutral,FALSE,0,0,Me resulta difícil de creer que este tipo estuviera en babia respecto del diseño de la CIA para Iberia ejecutado en… https://t.co/TWWqlCT7AV,,Fri Nov 03 11:09:49 +0000 2017,926406054656856064,,Pacific Time (US & Canada)
negative,TRUE,0,0,@Iberia puente aéreo de las 8am son las 8:30 y aquí seguimos enganchados al finger... pueden hacer su trabajo y vol… https://t.co/d5xVtUiAWv,,Thu Oct 26 06:33:34 +0000 2017,923437427892670464,,
negative,TRUE,0,0,@Iberia @Iberia han volado cn su compañía?1experiencia única xasus pasajeros!!Se l recomiendo xa qtomen note y empi… https://t.co/p3chDDxdxv,,Sun Dec 17 20:54:54 +0000 2017,942498358958198786,,
neutral,TRUE,0,0,@Iberia Desde el 18 de noviembre envié todos mis documentos por mail y confirme de recibidos,,Mon Dec 04 09:56:03 +0000 2017,937621511740858369,,Hawaii
positive,FALSE,0,0,"El canal Smithsonian reconstruye en vídeo el accidente aéreo de Spanair en Barajas, el más mortífero en España en…… https://t.co/gZseTq8eZe",,Wed Nov 22 15:59:18 +0000 2017,933364272263921666,,
negative,FALSE,0,0,Lo peor del asunto e q @Iberia miente. Un día te dicen q ya llegó a Londres y otro q todavía está en Madrid. Creí q eran más confiables,,Mon Oct 30 15:41:34 +0000 2017,925024889840525312,,Eastern Time (US & Canada)
neutral,FALSE,0,0,Representante de #IBERIA anuncia su llegada a #Nicaragua durante reunión con representantes de gobierno y del secto… https://t.co/PLVBgMIyUo,,Wed Nov 29 14:35:56 +0000 2017,935880009708863490,,Mountain Time (US & Canada)
negative,FALSE,0,0,Viajar con #ryanair seria como otra aerolinea cualquiera si no fuera por lo plastas que son con las ventas a bordo y el altavoz a todo taco,,Fri Oct 27 21:01:02 +0000 2017,924018123363225600,,Paris
negative,TRUE,0,0,"Llego a Santo Domingo y espero mas de una hora por mis maletas, 2, y resulta que como @Iberia ha tenido esa escala… https://t.co/kJlkQYl2l1",,Thu Jan 04 23:51:27 +0000 2018,949065772978098178,,Madrid
neutral,FALSE,0,0,A por el primero del año! #London @Iberia https://t.co/HWzbqEkwU4,,Thu Jan 04 06:55:49 +0000 2018,948810179876999168,,Madrid
neutral,FALSE,0,0,Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid https://t.co/09eJrXVZ2V https://t.co/FdXp0CglSv,,Fri Nov 17 14:16:06 +0000 2017,931526363370094593,,America/Buenos_Aires
neutral,FALSE,0,0,Los trabajadores de tierra de Ryanair ya no irán a la huelga este 30 de diciembre https://t.co/OkU7KXZGTG,,Tue Dec 19 10:49:23 +0000 2017,943070751183327233,,
negative,TRUE,0,0,"@Iberia Si siguen mirando el historial, también les contacté hace meses preguntando por esos $2000 que me robaron y nunca me contestaroná",,Wed Dec 13 16:30:49 +0000 2017,940982349986111488,,Greenland
